interfaceName,switchId,interfaceType,mode,networkOSType,adminState,allowedVlans,cdp,debounceTimer,description,fec,lacpPortPriority,lacpRate,policyType,portChannelId,portChannelMode,primaryInterface,ptp
Ethernet1/12,FLM30050KAQ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d032-sr-08-12-nic2-port3,auto,32768,normal,vpcMember,port-channel212,active,vPC212,FALSE
Ethernet1/14,FLM30050KAQ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d038-sr-08-14-nic2-port3,auto,32768,normal,vpcMember,port-channel214,active,vPC214,FALSE
Ethernet1/16,FLM30050KAQ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d044-sr-08-16-nic2-port3,auto,32768,normal,vpcMember,port-channel216,active,vPC216,FALSE
Ethernet1/18,FLM30050KAQ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d050-sr-08-18-nic2-port3,auto,32768,normal,vpcMember,port-channel218,active,vPC218,FALSE
Ethernet1/19,FLM30050KAQ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bplcmm002-m3-02-20-ocp-p1,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
Ethernet1/20,FLM30050KAQ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bplcmm002-m3-02-20-ocp-p2,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
Ethernet1/1,FLM30050KAQ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d002-sr-08-2-nic1-port1,auto,32768,normal,vpcMember,port-channel201,active,vPC201,FALSE
Ethernet1/3,FLM30050KAQ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d008-sr-08-4-nic1-port1,auto,32768,normal,vpcMember,port-channel203,active,vPC203,FALSE
Ethernet1/5,FLM30050KAQ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d014-sr-08-6-nic1-port1,auto,32768,normal,vpcMember,port-channel205,active,vPC205,FALSE
Ethernet1/7,FLM30050KAQ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d020-sr-08-8-nic1-port1,auto,32768,normal,vpcMember,port-channel207,active,vPC207,FALSE
Ethernet1/9,FLM30050KAQ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d026-sr-08-10-nic1-port1,auto,32768,normal,vpcMember,port-channel209,active,vPC209,FALSE
Ethernet1/11,FLM30050KAQ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d032-sr-08-12-nic1-port1,auto,32768,normal,vpcMember,port-channel211,active,vPC211,FALSE
Ethernet1/13,FLM30050KAQ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d038-sr-08-14-nic1-port1,auto,32768,normal,vpcMember,port-channel213,active,vPC213,FALSE
Ethernet1/15,FLM30050KAQ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d044-sr-08-16-nic1-port1,auto,32768,normal,vpcMember,port-channel215,active,vPC215,FALSE
Ethernet1/17,FLM30050KAQ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d050-sr-08-18-nic1-port1,auto,32768,normal,vpcMember,port-channel217,active,vPC217,FALSE
Ethernet1/2,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d003-sr-09-2-nic2-port4,auto,32768,normal,vpcMember,port-channel202,active,vPC202,FALSE
Ethernet1/4,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d009-sr-09-4-nic2-port4,auto,32768,normal,vpcMember,port-channel204,active,vPC204,FALSE
Ethernet1/6,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d015-sr-09-6-nic2-port4,auto,32768,normal,vpcMember,port-channel206,active,vPC206,FALSE
Ethernet1/8,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d021-sr-09-8-nic2-port4,auto,32768,normal,vpcMember,port-channel208,active,vPC208,FALSE
Ethernet1/10,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d027-sr-09-10-nic2-port4,auto,32768,normal,vpcMember,port-channel210,active,vPC210,FALSE
Ethernet1/12,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d033-sr-09-12-nic2-port4,auto,32768,normal,vpcMember,port-channel212,active,vPC212,FALSE
Ethernet1/14,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d039-sr-09-14-nic2-port4,auto,32768,normal,vpcMember,port-channel214,active,vPC214,FALSE
Ethernet1/16,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d045-sr-09-16-nic2-port4,auto,32768,normal,vpcMember,port-channel216,active,vPC216,FALSE
Ethernet1/18,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d051-sr-09-18-nic2-port4,auto,32768,normal,vpcMember,port-channel218,active,vPC218,FALSE
Ethernet1/19,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bplcmm003-m3-02-20-ocp-p2,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
Ethernet1/20,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bplcmm003-m3-02-20-nic2-p2,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
Ethernet1/1,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d003-sr-09-2-nic1-port2,auto,32768,normal,vpcMember,port-channel201,active,vPC201,FALSE
Ethernet1/3,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d009-sr-09-4-nic1-port2,auto,32768,normal,vpcMember,port-channel203,active,vPC203,FALSE
Ethernet1/5,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d015-sr-09-6-nic1-port2,auto,32768,normal,vpcMember,port-channel205,active,vPC205,FALSE
Ethernet1/7,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d021-sr-09-8-nic1-port2,auto,32768,normal,vpcMember,port-channel207,active,vPC207,FALSE
Ethernet1/9,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d027-sr-09-10-nic1-port2,auto,32768,normal,vpcMember,port-channel209,active,vPC209,FALSE
Ethernet1/11,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d033-sr-09-12-nic1-port2,auto,32768,normal,vpcMember,port-channel211,active,vPC211,FALSE
Ethernet1/13,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d039-sr-09-14-nic1-port2,auto,32768,normal,vpcMember,port-channel213,active,vPC213,FALSE
Ethernet1/15,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d045-sr-09-16-nic1-port2,auto,32768,normal,vpcMember,port-channel215,active,vPC215,FALSE
Ethernet1/17,FLM30030958,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d051-sr-09-18-nic1-port2,auto,32768,normal,vpcMember,port-channel217,active,vPC217,FALSE
Ethernet1/2,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d005-sr-11-2-nic2-port3,auto,32768,normal,vpcMember,port-channel202,active,vPC202,FALSE
Ethernet1/4,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d011-sr-11-4-nic2-port3,auto,32768,normal,vpcMember,port-channel204,active,vPC204,FALSE
Ethernet1/6,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d017-sr-11-6-nic2-port3,auto,32768,normal,vpcMember,port-channel206,active,vPC206,FALSE
Ethernet1/8,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d023-sr-11-8-nic2-port3,auto,32768,normal,vpcMember,port-channel208,active,vPC208,FALSE
Ethernet1/10,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d029-sr-11-10-nic2-port3,auto,32768,normal,vpcMember,port-channel210,active,vPC210,FALSE
Ethernet1/12,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d035-sr-11-12-nic2-port3,auto,32768,normal,vpcMember,port-channel212,active,vPC212,FALSE
Ethernet1/14,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d041-sr-11-14-nic2-port3,auto,32768,normal,vpcMember,port-channel214,active,vPC214,FALSE
Ethernet1/16,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d047-sr-11-16-nic2-port3,auto,32768,normal,vpcMember,port-channel216,active,vPC216,FALSE
Ethernet1/18,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d053-sr-11-18-nic2-port3,auto,32768,normal,vpcMember,port-channel218,active,vPC218,FALSE
Ethernet1/1,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d005-sr-11-2-nic1-port1,auto,32768,normal,vpcMember,port-channel201,active,vPC201,FALSE
Ethernet1/3,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d011-sr-11-4-nic1-port1,auto,32768,normal,vpcMember,port-channel203,active,vPC203,FALSE
Ethernet1/5,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d017-sr-11-6-nic1-port1,auto,32768,normal,vpcMember,port-channel205,active,vPC205,FALSE
Ethernet1/7,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d023-sr-11-8-nic1-port1,auto,32768,normal,vpcMember,port-channel207,active,vPC207,FALSE
Ethernet1/9,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d029-sr-11-10-nic1-port1,auto,32768,normal,vpcMember,port-channel209,active,vPC209,FALSE
Ethernet1/11,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d035-sr-11-12-nic1-port1,auto,32768,normal,vpcMember,port-channel211,active,vPC211,FALSE
Ethernet1/13,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d041-sr-11-14-nic1-port1,auto,32768,normal,vpcMember,port-channel213,active,vPC213,FALSE
Ethernet1/15,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d047-sr-11-16-nic1-port1,auto,32768,normal,vpcMember,port-channel215,active,vPC215,FALSE
Ethernet1/17,FLM30050KCK,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d053-sr-11-18-nic1-port1,auto,32768,normal,vpcMember,port-channel217,active,vPC217,FALSE
Ethernet1/2,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d005-sr-11-2-nic2-port4,auto,32768,normal,vpcMember,port-channel202,active,vPC202,FALSE
Ethernet1/4,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d011-sr-11-4-nic2-port4,auto,32768,normal,vpcMember,port-channel204,active,vPC204,FALSE
Ethernet1/6,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d017-sr-11-6-nic2-port4,auto,32768,normal,vpcMember,port-channel206,active,vPC206,FALSE
Ethernet1/8,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d023-sr-11-8-nic2-port4,auto,32768,normal,vpcMember,port-channel208,active,vPC208,FALSE
Ethernet1/10,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d029-sr-11-10-nic2-port4,auto,32768,normal,vpcMember,port-channel210,active,vPC210,FALSE
Ethernet1/12,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d035-sr-11-12-nic2-port4,auto,32768,normal,vpcMember,port-channel212,active,vPC212,FALSE
Ethernet1/14,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d041-sr-11-14-nic2-port4,auto,32768,normal,vpcMember,port-channel214,active,vPC214,FALSE
Ethernet1/16,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d047-sr-11-16-nic2-port4,auto,32768,normal,vpcMember,port-channel216,active,vPC216,FALSE
Ethernet1/18,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d053-sr-11-18-nic2-port4,auto,32768,normal,vpcMember,port-channel218,active,vPC218,FALSE
Ethernet1/1,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d005-sr-11-2-nic1-port2,auto,32768,normal,vpcMember,port-channel201,active,vPC201,FALSE
Ethernet1/3,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d011-sr-11-4-nic1-port2,auto,32768,normal,vpcMember,port-channel203,active,vPC203,FALSE
Ethernet1/5,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d017-sr-11-6-nic1-port2,auto,32768,normal,vpcMember,port-channel205,active,vPC205,FALSE
Ethernet1/7,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d023-sr-11-8-nic1-port2,auto,32768,normal,vpcMember,port-channel207,active,vPC207,FALSE
Ethernet1/9,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d029-sr-11-10-nic1-port2,auto,32768,normal,vpcMember,port-channel209,active,vPC209,FALSE
Ethernet1/11,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d035-sr-11-12-nic1-port2,auto,32768,normal,vpcMember,port-channel211,active,vPC211,FALSE
Ethernet1/13,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d041-sr-11-14-nic1-port2,auto,32768,normal,vpcMember,port-channel213,active,vPC213,FALSE
Ethernet1/15,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d047-sr-11-16-nic1-port2,auto,32768,normal,vpcMember,port-channel215,active,vPC215,FALSE
Ethernet1/17,FLM30050KFX,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d053-sr-11-18-nic1-port2,auto,32768,normal,vpcMember,port-channel217,active,vPC217,FALSE
Ethernet1/2,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d006-sr-12-2-nic2-port4,auto,32768,normal,vpcMember,port-channel202,active,vPC202,FALSE
Ethernet1/4,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d012-sr-12-4-nic2-port4,auto,32768,normal,vpcMember,port-channel204,active,vPC204,FALSE
Ethernet1/6,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d018-sr-12-6-nic2-port4,auto,32768,normal,vpcMember,port-channel206,active,vPC206,FALSE
Ethernet1/8,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d024-sr-12-8-nic2-port4,auto,32768,normal,vpcMember,port-channel208,active,vPC208,FALSE
Ethernet1/10,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d030-sr-12-10-nic2-port4,auto,32768,normal,vpcMember,port-channel210,active,vPC210,FALSE
Ethernet1/12,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d036-sr-12-12-nic2-port4,auto,32768,normal,vpcMember,port-channel212,active,vPC212,FALSE
Ethernet1/14,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d042-sr-12-14-nic2-port4,auto,32768,normal,vpcMember,port-channel214,active,vPC214,FALSE
Ethernet1/16,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d048-sr-12-16-nic2-port4,auto,32768,normal,vpcMember,port-channel216,active,vPC216,FALSE
Ethernet1/1,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d006-sr-12-2-nic1-port2,auto,32768,normal,vpcMember,port-channel201,active,vPC201,FALSE
Ethernet1/3,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d012-sr-12-4-nic1-port2,auto,32768,normal,vpcMember,port-channel203,active,vPC203,FALSE
Ethernet1/5,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d018-sr-12-6-nic1-port2,auto,32768,normal,vpcMember,port-channel205,active,vPC205,FALSE
Ethernet1/7,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d024-sr-12-8-nic1-port2,auto,32768,normal,vpcMember,port-channel207,active,vPC207,FALSE
Ethernet1/9,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d030-sr-12-10-nic1-port2,auto,32768,normal,vpcMember,port-channel209,active,vPC209,FALSE
Ethernet1/11,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d036-sr-12-12-nic1-port2,auto,32768,normal,vpcMember,port-channel211,active,vPC211,FALSE
Ethernet1/13,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d042-sr-12-14-nic1-port2,auto,32768,normal,vpcMember,port-channel213,active,vPC213,FALSE
Ethernet1/15,FLM30023EBG,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d048-sr-12-16-nic1-port2,auto,32768,normal,vpcMember,port-channel215,active,vPC215,FALSE
Ethernet1/2,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d001-sr-07-2-nic1-port3,auto,32768,normal,vpcMember,port-channel202,active,vPC202,FALSE
Ethernet1/4,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d007-sr-07-4-nic2-port3,auto,32768,normal,vpcMember,port-channel204,active,vPC204,FALSE
Ethernet1/6,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d013-sr-07-6-nic2-port3,auto,32768,normal,vpcMember,port-channel206,active,vPC206,FALSE
Ethernet1/8,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d019-sr-07-8-nic2-port3,auto,32768,normal,vpcMember,port-channel208,active,vPC208,FALSE
Ethernet1/10,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d025-sr-07-10-nic2-port3,auto,32768,normal,vpcMember,port-channel210,active,vPC210,FALSE
Ethernet1/12,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d031-sr-07-12-nic2-port3,auto,32768,normal,vpcMember,port-channel212,active,vPC212,FALSE
Ethernet1/14,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d037-sr-07-14-nic2-port3,auto,32768,normal,vpcMember,port-channel214,active,vPC214,FALSE
Ethernet1/16,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d043-sr-07-16-nic2-port3,auto,32768,normal,vpcMember,port-channel216,active,vPC216,FALSE
Ethernet1/18,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d049-sr-07-18-nic2-port3,auto,32768,normal,vpcMember,port-channel218,active,vPC218,FALSE
Ethernet1/19,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bplcmm001-m3-01-20-ocp-p1,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
Ethernet1/20,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bplcmm001-m3-01-20-nic2-p1,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
Ethernet1/1,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d001-sr-07-2-nic1-port1,auto,32768,normal,vpcMember,port-channel201,active,vPC201,FALSE
Ethernet1/3,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d007-sr-07-4-nic2-port1,auto,32768,normal,vpcMember,port-channel203,active,vPC203,FALSE
Ethernet1/5,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d013-sr-07-6-nic2-port1,auto,32768,normal,vpcMember,port-channel205,active,vPC205,FALSE
Ethernet1/7,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0204bprhoso01d019-sr-07-8-nic2-port1,auto,32768,normal,vpcMember,port-channel207,active,vPC207,FALSE
Ethernet1/9,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0205bprhoso01d025-sr-07-10-nic2-port1,auto,32768,normal,vpcMember,port-channel209,active,vPC209,FALSE
Ethernet1/11,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0206bprhoso01d031-sr-07-12-nic2-port1,auto,32768,normal,vpcMember,port-channel211,active,vPC211,FALSE
Ethernet1/13,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0201bprhoso01d037-sr-07-14-nic2-port1,auto,32768,normal,vpcMember,port-channel213,active,vPC213,FALSE
Ethernet1/15,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0202bprhoso01d043-sr-07-16-nic2-port1,auto,32768,normal,vpcMember,port-channel215,active,vPC215,FALSE
Ethernet1/17,FLM30050K9G,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0203bprhoso01d049-sr-07-18-nic2-port1,auto,32768,normal,vpcMember,port-channel217,active,vPC217,FALSE
